c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
87038,Customer#000087038,"5h9OQ8zz6ajrrx,Cpt",0,10-809-271-4328,2071.03,BUILDING,y. carefully stealthy deposits nag. carefully 
87091,Customer#000087091,5WwQ9XJTo4ZgFqzRbbhJfFggwJ407eo,3,13-450-276-8410,8031.4,HOUSEHOLD,"haggle silent, even instructions. quickly p"
87182,Customer#000087182,6qHyDfFQWJQyz8 9jeJ2uv0IT1I5sOz4JtlMD,14,24-433-659-2355,564.1,FURNITURE,thely foxes-- blithely unusual account
87240,Customer#000087240,"jC,UTKsBL5S,",24,34-933-103-1639,-330.93,BUILDING,tions dazzle quickly above the carefully final instructions. even deposits nag slyly according to the qui
87301,Customer#000087301,"Xm,4YAwwqEVy8fL1d6dm D0o9",11,21-921-993-2362,5997.83,HOUSEHOLD,efully final deposits nag carefully along the carefu
87593,Customer#000087593,"FRCM,9f2p0,1kqJkzk20",8,18-827-374-1038,1956.2,FURNITURE,"ts. regular, regular ideas are quickly. slyly bold pinto beans wake blithely. even, pending pinto b"
87598,Customer#000087598,229iQf5P1Kl3ak5q7JrLC,13,23-350-299-1623,7259.25,AUTOMOBILE,"ronic, special requests haggle across the accounts. carefully ironic packages cajole blithely after the fluffil"
87710,Customer#000087710,"bDahdlQSYmk6ihiogRCTcX3pDU2NpdDrhAIB,H4",19,29-110-474-9875,7577.06,HOUSEHOLD,above the express deposits. carefully ironi
87742,Customer#000087742,",ZiSRF,pqOuhpwr",2,12-311-588-7385,3375.73,BUILDING,accounts are carefully slyly pending requests. carefu
87885,Customer#000087885,"jyr  0L8WqX3PRvD,PxOv4JzTDprnH6",17,27-589-587-3237,3606.7,HOUSEHOLD,s. carefully final packages wake permanently foxes. quickly silent asym
87918,Customer#000087918,"8h4k6ylGH,OfxDIqPVNG",13,23-758-279-7217,3974.73,FURNITURE,s wake furiously theodolites. ironic foxes boost. furiously ironic req
88239,Customer#000088239,"2js,pXw6wz",19,29-802-234-5796,312.95,HOUSEHOLD,ccording to the requests. blithely expr
88416,Customer#000088416,E7TrFLOtJZmXZlsYDl4hUa,18,28-388-178-5435,6552.84,MACHINERY,"slyly even realms haggle slyly. evenly regular theodolites wake. unusual, furious "
88499,Customer#000088499,k2P79Cx9Nyy9mzvRUtdW6a1Dd13Z78G56S,19,29-507-253-7942,436.45,BUILDING,"final, final asymptotes? blithely regula"
88783,Customer#000088783,BQJVMZIUxR4ukX0MCuzwnPrZ4D,15,25-938-684-7713,9157.84,HOUSEHOLD,"ly bold courts. carefully thin pinto beans wake furiously regular asymptotes. unusual, busy platelets haggle about "
88812,Customer#000088812,tl3OZeLRLgl8IVdL,17,27-472-954-5528,7670.82,FURNITURE,nic courts are carefully across the fi
88896,Customer#000088896,ztRnCPv8vDatnL7qR,5,15-453-197-2646,1824.26,MACHINERY,xpress requests nag. bold excuses nag furiously final foxes. f
88959,Customer#000088959,"jgmZavYd6WRddXtKmGNI,C",8,18-945-696-9794,2300.59,MACHINERY,pecial deposits poach quickly above the quickly fin
89031,Customer#000089031,"S56Rt9AEUD6KnmW87gOKmxXbXidm2AFVTlb ,Ml",8,18-688-251-8852,1777.23,FURNITURE,ully express requests. furiously ironic dugouts 
89193,Customer#000089193,V62TKZ4xMzATsAwOTa4bvH,11,21-208-226-2945,7096.1,BUILDING,kly. slyly bold ideas are among the slyly idle accounts. fin
89233,Customer#000089233,"BXpeYupS,hVR,HqQHFQuhe",6,16-239-415-4216,2356.19,MACHINERY,osits. furiously sly requests wak
89598,Customer#000089598,8WOK5oVEHebctNLwYBfiE0v01tatfBydx,22,32-601-500-5541,9037.39,MACHINERY,fluffily bold foxes. carefully permanent ideas detect u
89769,Customer#000089769,"8Rm37LRr 2WQ2fJdMrOLLIl1j,WvI4twYt8",5,15-593-340-8037,5059.82,BUILDING,"ly unusual excuses wake final, final theo"
89783,Customer#000089783,vd5VffAmJtxX8HS4IbxD,23,33-933-461-2202,217.58,BUILDING,"ironic, regular pinto beans sleep carefully? bli"
89962,Customer#000089962,d1dAPwARYlhwL,1,11-418-474-4629,5742.98,MACHINERY,"s are slyly? carefully even dependencies cajole. packages run about the final, bold platelets"
89973,Customer#000089973,ksrnDqkACwaPeUVDzyxbJMSUkDewBE8UtpZjt2,8,18-599-887-3575,2419.89,FURNITURE,. slyly final accounts nag after the 
89975,Customer#000089975,9x8JLRvPZy5vjcvsj3hoz,16,26-720-457-4371,5102.16,MACHINERY, sleep always above the slyly busy packages. furiously even deposits cajole carefully blithely expres
90134,Customer#000090134,UZ8nkVdTS8g9acanq1XZ,6,16-954-651-3489,7616.61,BUILDING,ly even packages? furiously ironic requests against the platelets haggle carefully against the carefully 
90457,Customer#000090457,"c2i,euQToc6HtQr",6,16-160-561-9080,5579.57,FURNITURE,. even accounts cajole furious
90700,Customer#000090700,",ylu2SciHHVnJvx",10,20-288-670-5992,4793.04,BUILDING,ress accounts cajole slyly. deposits cajole q
90819,Customer#000090819,b0BCDKoRHQx9pZkRwgZcesvyMT2GJohHX,18,28-823-251-8588,7087.34,HOUSEHOLD,"xcuses. final theodolites against the ironic, unusual multipliers sleep slyly blithely i"
90852,Customer#000090852,86bmUWdOWIUrc7OjWKiBR5XC59,4,14-318-397-2536,5539.38,MACHINERY,uests. packages wake furiously above the quickly special requests. slyly unusual accounts detect ev
90900,Customer#000090900,"HxnAI24f5L 8GRJM2lUnB,75gzJ9RM09sP3fwW90",18,28-515-584-4667,2426.18,AUTOMOBILE,icingly even asymptotes nag blithely ironic deposits-- carefully even instructions breach f
91095,Customer#000091095,"z9OUyl7dCTEc, ,8yggaCPKAOkkwMYl8Ptj",0,10-591-373-5552,2011.6,MACHINERY,beans will have to nag carefully about the packages? foxes nag blithely. slyly final deposits above the
91416,Customer#000091416,X27aDFEj0SRZtD,10,20-483-362-5928,5714.93,FURNITURE,slyly express accounts affix regular theod
91517,Customer#000091517,jwOwcELyQVqkjW2,23,33-433-862-9542,1721.92,BUILDING,yly blithely ironic instructions. slyly ironic accounts against the theodolites detect b
91921,Customer#000091921,htCFHIOQvG41qGR1GaY,7,17-313-705-6709,1881.68,FURNITURE,e sometimes regular instructions. quickly bold foxes among the idly ironic packages use carefully about the blithe
91967,Customer#000091967,kANVBKOzUorGAFOaBIcQENXptJyjG9iGZ,24,34-153-603-5739,3571.71,BUILDING,nding ideas haggle quickly stealt
92239,Customer#000092239,jNkweKNwNavCE1nyBXnNubDGJtcp43Gmj,4,14-209-867-5202,4255.62,FURNITURE,bold ideas nag fluffily against the furiously regular requests. carefully regular depend
92331,Customer#000092331,om5cfvkQgJxPly6Wceg Ktw1wKstP,19,29-186-736-8436,208.98,HOUSEHOLD, furiously regular ideas; fluffily pending theodolites above the quickly express platelets wake slyly exp
92374,Customer#000092374,jmgqTI4dWRPNdBQ3toL6p9NAbJoZjKwN,12,22-750-638-1288,1318.23,FURNITURE,ong the slyly even packages. brave
92475,Customer#000092475,QI4qFI9scA8eQPAcxf4lXVg7dSRxHJ,3,13-910-218-7828,6813.24,AUTOMOBILE,l pinto beans according to the slowly pending packag
92557,Customer#000092557,"zvGnexVCuHM4Q3uWmOB,av8UBi4GzAJsL",22,32-282-879-1611,6081.74,HOUSEHOLD,foxes. slyly ironic packages boost quickly even instructions; furiously regular ideas ar
92606,Customer#000092606,",sFuKw2xutGqmRTz3RT8ZCpW",20,30-573-974-8693,331.69,MACHINERY,luffily final ideas use blithely again
92656,Customer#000092656,UjFfdCQbLbAEEPqiC ATul5Niep5nuezu90,12,22-506-778-6398,-869.95,FURNITURE, unusual instructions. silently even pinto beans must serve fluffily blithely final package
92678,Customer#000092678,"PUfRprTlaQWwhTJy,p,WdJT28QxEYI0YK oPRTHq",19,29-589-861-7550,3633.62,FURNITURE,s cajole after the slyly ironic packages. blithely ironic asymptotes sleep ironic requests: bold realms above th
92841,Customer#000092841,FF tdCgV7hBhukPdVtqHs0t qiHsYqG,7,17-154-132-2428,3432.36,AUTOMOBILE, deposits doze daringly alongside of the expres
92922,Customer#000092922,FzhZkliEPIdw96shHBEil7MKGYJTadBEJTAi1,9,19-218-238-2253,8051.85,FURNITURE,instructions believe busily. slyly special foxes sle
93171,Customer#000093171,"Q4,3U5HcE52q",4,14-530-101-7347,2838.52,AUTOMOBILE,ording to the pinto beans. dolphins eat furiously unusual deposits? quickly special pac
93471,Customer#000093471,HUj07UsgFygYf67IXp8Vp1kmQ5O,10,20-751-118-8798,7415.59,MACHINERY,arefully even packages wake closely according to the accounts. carefully unusual ideas afte
93521,Customer#000093521,hpo9tSShAaXuyT3WvBCPCC8,8,18-952-897-2907,5450.74,HOUSEHOLD,"y regular packages affix quickly among the final, even acc"
93683,Customer#000093683,FQ NX1y6D5SXcbBf,23,33-507-575-1150,4429.8,FURNITURE,lly ironic dependencies alongside of the even accounts use fluffily carefully regular acco
93690,Customer#000093690,MtkWi6fhWn9rfGdgMuvmj,22,32-743-810-2559,1797.57,BUILDING,s believe furiously. fluffily b
93941,Customer#000093941,"f8lD56wx4yY6LUhCuL8lyTNNJ82pgtjTUtW,THa",0,10-456-156-6636,6225.58,MACHINERY,usual epitaphs are slyly ironic deposits! slyly pending pa
93998,Customer#000093998,"Nd4EjbCWh5XYCYCYySaD,cU0Z1I",18,28-418-797-5154,505.5,FURNITURE,tly. carefully furious courts wake furiously fina
94118,Customer#000094118,FVb73oGkakHh9XydZ2Dwg4q PkJhU4D9lttxwht,14,24-908-647-1925,4298.67,HOUSEHOLD,"es wake slyly blithely special accounts. unusual, even packages during the regular patterns"
94127,Customer#000094127,IU2iyaoXSLM7EgOrSOunl0u,0,10-111-538-9118,8221.61,AUTOMOBILE,"l sauternes use. bold, regular waters"
94380,Customer#000094380,GHuvXI5zRJg9JTRLNXtE2IN7TMkdk6em4S zW,24,34-345-196-1687,270.64,AUTOMOBILE," regular, silent instructions. ca"
271,Customer#000000271,"O,HceV3 XE77Yx",6,16-621-282-5689,1490.35,MACHINERY,ly pending deposits cajole slyly sl
357,Customer#000000357,l2C0Xkdib4t4 qKFUcRDOhRQMK7U0,18,28-452-965-8560,8747.36,AUTOMOBILE,ress platelets cajole fluffily final accounts: slyly ironic foxes s
377,Customer#000000377,"PA4levhyD,Rvr0JHQ4QNOqJ9gW YXE",23,33-260-610-4079,1043.72,MACHINERY,. slyly regular ideas cajole blithely. slyly ironic foxes are carefully after the thinly special accou
1522,Customer#000001522,aMbkFCcpuqN8YFzn8ctAhm skIIfd,4,14-712-410-2710,948,AUTOMOBILE,packages hang slyly alongside of the slyly silent foxes. closely express accounts alongside of the even Tir
1707,Customer#000001707,MjHpj4aS20ftMyK5EMEk87p,11,21-859-412-6010,2714.86,AUTOMOBILE,. carefully even requests nag fluffily after the sometimes regular instructions. quickly bold foxes among the idly
2034,Customer#000002034,3vbk1W82kqELOY2MxDzQsQVCwIbBbjbS7oaIWCT,1,11-807-330-7311,6326.64,BUILDING,"eans. carefully bold accounts cajole fluffily alongside of the blithely regular requests. regular, iron"
2121,Customer#000002121,"XNSMDXVwO0Cthao2rQKM,cdR8",13,23-435-136-6680,8598.37,BUILDING,"r the unusual, regular epitaphs. pending decoys detect furiously final, final theodolites. regular, special pint"
2127,Customer#000002127,"OcFhQNb4xLqkKhWSFlxKqHC1s3mYuIz4B,seTL",7,17-892-217-5356,-761.44,HOUSEHOLD,of the blithely regular requests. instructions wake special pi
2728,Customer#000002728,OaZqwjm4XaJFUp rt0SdBRHpDs1NhQ,10,20-607-725-6703,9010.91,BUILDING,ickly silent requests use quickly silent deposits? slyly even requests 
2733,Customer#000002733,lIOb6UG0T6fd2XukqwCCb8tLSwHaMl IDKyD9,24,34-931-969-9534,9817.41,BUILDING,thely pending dolphins: final accounts wake slyly fluffily silent reque
2740,Customer#000002740,fcLR948rE9Xywit3LOwCBMd,17,27-151-894-5916,4400.95,MACHINERY,ously at the carefully pending requests. quickly express platelets
2825,Customer#000002825,1hzMbbK5 1kJyuHRqIL8iBwCK4syxLpWPqSldm1B,10,20-494-714-6628,2288.38,BUILDING,thely final asymptotes wake blithely according to t
2840,Customer#000002840,tMgOVIDDUGc,6,16-856-329-5115,7315.28,HOUSEHOLD,"kages. quickly bold requests sleep. carefully silent asymptotes sleep quick, "
3067,Customer#000003067,kAQHP1gpGF,5,15-485-851-8062,4176.16,BUILDING,ly special packages. quickly re
3235,Customer#000003235,483C9SyTAItL7 S4W2MJ6PzRhHM1SeIMrOkw4m,16,26-975-331-7600,3773.64,HOUSEHOLD,regular pearls. carefully regular dependencies haggle slyly after the slyly regular foxes. blithely final ideas
3244,Customer#000003244,"3eDg6o,ZMTxANkedn",1,11-435-925-8442,1640.84,BUILDING,st the slyly blithe packages. instructions on the sly
3341,Customer#000003341,0bAw3VLE1xwcCZTOl1C2961,15,25-584-123-6087,8631.28,HOUSEHOLD,posits cajole fluffily. even foxes about the special r
3607,Customer#000003607,nIXR9E0D0Yz5ZaKP7yREYSJVKTfAGDjbG2dKZv,21,31-803-824-7447,5435.53,AUTOMOBILE,nts nag quickly across the slyly special braids. furiously regular accounts according to the asymptotes believ
3851,Customer#000003851,dvq6N7KQlNYSzi5rTRadbipiuz1N,14,24-425-408-6983,8242.77,MACHINERY,"e of the blithely final accounts. ironic, regular sentiments sleep fluffily ironic ideas. blithely even asymptotes"
3924,Customer#000003924,2WX4j4JLqUEbeLyHXfsA2d7wt9ZG3sLzagc6DL,8,18-914-498-7418,2874.22,AUTOMOBILE,ironic packages hang blithely blithely ironic accou
3946,Customer#000003946,Oo51gmjKIcU9,7,17-212-362-3619,5795.3,FURNITURE,encies-- requests sleep alongside of the quietly
3973,Customer#000003973,"Cml3idVwsEmVh6, AL9auymR893PoU",15,25-607-894-7476,7358.97,BUILDING,odolites. regular excuses cajole slyly after the quickly express foxes; quickly final warhorses haggle furio
3989,Customer#000003989,l9T6Rdin287xG,23,33-364-830-8306,7872.31,AUTOMOBILE,nic requests sleep. blithely even instructions wake.
4117,Customer#000004117,"2QOTo,fFNJN29QUPbUpNODcT",14,24-987-408-5912,1969.37,MACHINERY,"lithely regular requests. even, final foxes sleep quickly furiously r"
4268,Customer#000004268,"Qa0hNQ4p3fAi,I3TRA7",24,34-244-829-9019,8274.26,AUTOMOBILE,". final, express orbits wake thinly quickly pending foxes. blithely unusual packages"
4341,Customer#000004341,"IJ1Ipzpcx,mQ8,A3KKDCz7EfYo",7,17-418-290-9093,-527.18,BUILDING,packages. carefully regular requests sleep. ironic i
4358,Customer#000004358,h6cR9YCYyQKJ6ALIloaw7rFY5dkOf4,7,17-338-213-6258,4526.58,AUTOMOBILE, sleep carefully regular packages. carefully express foxes cajole quickly against the slyly unusual in
4367,Customer#000004367,"HdZylr3U,iQ7Jv8sY792S",2,12-496-586-5052,9455.24,BUILDING,ingly regular accounts. slyly final courts above the quickly express accounts are along the ruthless pa
4453,Customer#000004453,iGZ6OeBlQIh1CVhPTWsR7c4ODnf5hVhl4Sr,3,13-363-728-2887,779.55,FURNITURE,ans wake blithely above the ideas. quickly regular pinto beans cajole
4508,Customer#000004508,"h,OgEqnD4ZUDq4NaPCKAfTL0YJxYzj",5,15-173-855-1164,2170.05,BUILDING,nto beans cajole blithely along the furiously special pinto beans. quickly unusual pinto beans haggle brav
4718,Customer#000004718,"pLr6NrlZySPgEv1t7Xcti98,LbSXO",6,16-183-987-3882,1825.45,BUILDING,ully around the requests. regular pearls promise along
4747,Customer#000004747,"7Lh9BW5Jke3zjkzHFlpE9nV8YkOgmK2Cim,",16,26-290-129-5298,8841.36,FURNITURE,"luffily regular, regular requests. express packages lose. slyly pending packages nag sl"
5111,Customer#000005111,gOjca4YOzBYIAw6WP2hosw,10,20-347-504-7945,1711.94,HOUSEHOLD,ggle busily. blithely final attainments nod according to the blithely even packages.
5241,Customer#000005241,1RwodMo7pw1GSyzfp0aqw,3,13-472-442-2262,2921.02,AUTOMOBILE," regular, express requests snooze furiously; f"
5271,Customer#000005271,uQtSRg32XvGpwZdA4PJp32tH,10,20-957-275-7501,966.2,MACHINERY,ts wake quickly among the slyly express packages. even ideas haggle furiously realms. permanently silent acco
5349,Customer#000005349,dt6uL4xuMLd2X4hF,18,28-856-593-4144,4300.1,FURNITURE,above the requests haggle fluffily after the requests. foxes doubt fluffily according to th
5366,Customer#000005366,F7VzaZTJOrfkKuJV7Dra9vL5,7,17-890-816-7504,447.98,MACHINERY,al packages sleep slyly. furiously even excuses cajole across the even deposits. carefully unusual reques
5555,Customer#000005555,zIyhvUWzNSBx2WZFX1k2KSrbq3a84McW5VNtMU,14,24-155-541-1741,2979.03,BUILDING,ions are slyly regular pinto beans. car
5642,Customer#000005642,2YQYhvRFz7Of6aDSArJOmQN,21,31-465-776-6941,8927.71,FURNITURE,inal packages boost above the blithely ironic packages. slyly eve
5773,Customer#000005773, utp0aV0curfA2Aa,5,15-176-544-2898,1271.25,BUILDING, requests along the furiously even packages sleep requests. furiously silent foxes boost 
5869,Customer#000005869,7p gsELV430yUy0QGdNcWZHCm4zZlkTl,0,10-863-190-5150,-222.94,HOUSEHOLD,yly bold packages use slyly. requests haggle blit
6613,Customer#000006613,zPS5aK 66ca8nD,4,14-453-488-2934,6296.69,AUTOMOBILE,"unts. ironic, even instructions cajole blithely a"
6643,Customer#000006643,Iuv NTvS6dJ2io6Q76FiZeJI,23,33-173-903-7175,3109.73,HOUSEHOLD,are carefully blithe accounts. carefully unusual pi
6841,Customer#000006841,"g  NzADDwQKOQedcgxkP3 vDTJ0OThsh0sqI,vb",9,19-631-468-3008,2459.12,MACHINERY, busily final packages across
6847,Customer#000006847,"FgCB,v15gQzq6",16,26-489-731-4993,81.08,AUTOMOBILE,across the quickly final theodolites. slyly ironic d
6888,Customer#000006888," O40aa4,Ip frcWNEh6XbZL5kktj,QFqRe",5,15-967-617-5600,6207.74,AUTOMOBILE,to beans. regular packages accor
7128,Customer#000007128,6sAghu8MnqNIzCnDiaklPJvqxEnW2QeRVPj,10,20-958-508-3711,6708.01,AUTOMOBILE, theodolites alongside of the carefully
7424,Customer#000007424,7J4t5aTB2m1PzK69YJAO2IUdV4puHowl4x7,21,31-667-748-2910,1963.66,AUTOMOBILE,ts. bold deposits detect foxes. quickly silent requests cajole furiously evenly express platelets? stealthily regula
7568,Customer#000007568,"lyEOWUHOwTothEK5DTC,,Py73cc4bNE3",10,20-449-139-9871,6999.36,HOUSEHOLD,"sits. fluffily unusual foxes cajole according to the pending, regular packages; expres"
7612,Customer#000007612,"bFi6YLD0e,Fjd9TbCy5V",7,17-995-989-4351,3693.36,MACHINERY,yly according to the regular packages. pains integrate slyly acc
7734,Customer#000007734,uYcSo01xH8fN9iyc4B7dD,5,15-719-774-4209,7039.57,HOUSEHOLD, of the slowly ironic accounts. bold excuses against the dinos bo
8014,Customer#000008014,gyNQIdKYE85aOj4BHpvGN1b,5,15-220-266-7120,-80.98,MACHINERY," furiously packages. bold, thin deposits thrash furiously. instructions haggle blithely about the quickly"
8202,Customer#000008202,CNTKjH1KF4NcwzNU2Xs9QmpseEiT63Mc,23,33-493-447-7255,5456.56,BUILDING,heodolites. slyly express accounts wake regular fo
8382,Customer#000008382,5sE6l3dbH4aldNHoaHaQ7bmjaOEWzuvbs6JTh,0,10-235-136-5753,-140.01,MACHINERY," packages alongside of the final, special r"
8408,Customer#000008408,UVUP6spmmKVAMjmPco4zmLbKig1,0,10-170-953-6159,8466.89,BUILDING,. slyly pending sentiments wake slyly. somet
8420,Customer#000008420,8Qt0PiKEpBaDX,8,18-681-340-8866,3789.25,AUTOMOBILE,"e of the silent, regular requests. express ideas around "
8470,Customer#000008470,v7tDHSNlROjIsl3PoSAQmFkPFF8UtiTHc7D8,20,30-481-829-3260,9229.42,AUTOMOBILE,accounts; daringly dogged requests against the ruthlessly final pinto beans wak
8613,Customer#000008613,"oCtd8btds7G,Ah1xPMgO,GlbW",19,29-807-883-4017,-990.35,MACHINERY,atelets. furiously final ideas haggle. blithely final dependencies shall engage furious
8896,Customer#000008896,"ogqfDAq,SB0SrJU9",19,29-192-497-2443,449.26,BUILDING,"ests poach slyly. unusual, bold packages are quickl"
9044,Customer#000009044,yv XyPqhjgQGm3QRkfV3DQDeOc1q69o2F,1,11-438-902-7937,6785.94,FURNITURE,"mong the silent, final platele"
9144,Customer#000009144,OeqDMjix0G,5,15-559-940-4082,2942.15,BUILDING,iously ironic requests? slyly express packages along the ev
9155,Customer#000009155,dAEnluxCDQJP3zYIj712h,10,20-389-660-5072,-41.78,HOUSEHOLD,lithely regular notornis haggle quickly among th
9194,Customer#000009194,fx5K4gImiEam49j40lkNoZ2nTFY7e,8,18-392-266-4421,1516.95,MACHINERY," deposits above the carefully final pinto beans nag above the finally pending excuses. pending, ironi"
9344,Customer#000009344,nn7 qW84a2NWZ4xK42GzelBIUE2eIQ 4l2Rw,1,11-154-483-2630,4221.06,MACHINERY,ggle carefully furiously unusual
9360,Customer#000009360,"9KWqRydmYqKfVj y3S DGA,QCmaW",5,15-581-360-5843,9773.77,MACHINERY,ly enticing deposits. special waters are ac
9386,Customer#000009386,7F2 iLOXQRbHSOhEqIAcxrI,5,15-609-816-7134,1634.14,MACHINERY,odolites are according to the ironic excuses. final pinto beans ca
9543,Customer#000009543,ddRS5om1Xc cn6BPc,19,29-363-137-9479,9192.03,FURNITURE,e slyly express ideas wake at the quickly bold forges! slyl
9582,Customer#000009582,",B0k7ONUGn5p7maGZ6KQRQMhB93NS6iWkT",7,17-910-743-6012,6921.05,AUTOMOBILE,lithely slyly unusual instructions: furiously even dependencies breach quickly furiously even packag
9675,Customer#000009675,tc39bWzSAQC,18,28-814-290-7758,7373.35,MACHINERY,ial pinto beans among the carefully regular wa
9691,Customer#000009691,"GxDqjs4v8SA,3nl",13,23-931-612-9413,7981.6,MACHINERY,ts are. blithely regular pinto beans
9714,Customer#000009714,G4FrOruL5 db4Yz56njUkYXlbaz7WMeVwWry,12,22-832-156-9237,5795.52,FURNITURE,"al, even foxes cajole. carefully unusual asymptotes cajole re"
9782,Customer#000009782," 8PyOpcPDW,HvyrB9tO,",24,34-924-699-5519,6966.14,FURNITURE,refully express excuses. slyly regular packages doze slowly even packages. 
9787,Customer#000009787,l NaTsOvApYGU26iE3Wz4UaVE8s,4,14-486-611-5297,8435.25,HOUSEHOLD,ic ideas haggle across the slyly final pinto beans. asymptotes
9992,Customer#000009992,OkGqjD1xC29JIhn,22,32-967-755-9776,8331.27,BUILDING,"tes use slyly about the regular, final theodolites-- deposits after the blithe, ironic instructions affix ide"
10060,Customer#000010060,X6p2gbkGf uoWSgjajbfrvOkwbCYtSV Su,9,19-948-360-3879,9352.08,FURNITURE,y ironic pains detect slyly final packages. blithely ironic accounts along t
10244,Customer#000010244,Ur1wJyJ0prDnVd5vde,16,26-460-929-7253,8420.98,MACHINERY,ss accounts integrate slyly. slyly final requests wake slyly above the expr
10277,Customer#000010277,Co WOIdTfwiz,9,19-449-742-9849,286.95,MACHINERY,ly regular requests. quickly bold packages nag blithely. pending ideas promise furiously express requests. w
10293,Customer#000010293,HJ0CzhCxLpVidbmzCugpz5woRjjeiskpHEQF,20,30-963-872-5712,35.17,FURNITURE,unts. busily regular requests after the
10487,Customer#000010487,p fDwAtqgD,5,15-820-797-3839,3488.09,MACHINERY,ns sleep quickly furiously regular dependencies! carefully even ideas use furiously bol
10586,Customer#000010586,tpGhTyWBrFbJocTpS2L,24,34-298-966-3773,4765.91,MACHINERY, final deposits use slyly. even dependencies are quickly carefully bold 
10830,Customer#000010830,"aVhKUgb,7K9PyvqfnCKhg55aKU",16,26-675-542-4923,2130.33,FURNITURE,"carefully. final, regular packag"
10854,Customer#000010854,3bnTplKidwiK7P29vds5mXFpO rcs,11,21-174-676-5047,4723.5,BUILDING,ng the furiously final packages. ironic packages de
10987,Customer#000010987,"s55,YXSmg0OFUB750iNTgiilsAuQPpfTK72dHmJ",23,33-691-581-6996,7484.2,AUTOMOBILE,es sleep. doggedly express packages cajole. carefully final asymptotes across the never even ideas boo
11666,Customer#000011666,MAerlxfukxb Wh7mgmMQ8ErbNeka,4,14-377-642-9854,2701.83,AUTOMOBILE,"platelets. silent, regular packages nag blithely quickly express requests-- bold ideas haggle dolphins. ca"
11878,Customer#000011878,Zvhmo9Zud1nEc0XQe1UnIFpNZ,17,27-920-102-3682,422.38,HOUSEHOLD,carefully above the furiously ironic pinto beans. fluffily final theodolites sle
12056,Customer#000012056,"gO,9ew8FhzhdrfN9fTMLYxdCV8f",20,30-575-203-3118,5350.23,BUILDING,ely after the regular package
12261,Customer#000012261,wQtiWypapJCbRUhUcv3JWCMR,12,22-548-245-5254,2195.23,HOUSEHOLD,ccounts above the carefully ironic dependencies cajole blithely furiously regular deposits. de
12338,Customer#000012338,xFtUabj6tTWqixxrYqHHSlSr,1,11-461-147-5908,8451.87,MACHINERY,he carefully final sentiments. carefully sly ideas believe quickl
12463,Customer#000012463,eHfDKYJ LMFPzZaPknMN 8q 1 yVa0Hl6,10,20-182-592-7830,3088.79,MACHINERY,"des. regular foxes hang. slyly ironic packages are. ironic, unusual packages according to the s"
12585,Customer#000012585,kFpIOGdPIn 4MF018zXuwSaHJHdNp,17,27-145-360-2115,1277.9,AUTOMOBILE," instructions. even, ironic deposits affix carefully express requests. epitaphs wake. pending depos"
12670,Customer#000012670,AXoD1jl8KlAmdQbeww52xYFqP3,20,30-304-659-1810,3282.68,AUTOMOBILE,fily special packages. busily even asymptotes 
12742,Customer#000012742,o25JFZ0NHF6Jr2mhgyYoigsJ7eLOYPBiUxjWt0,14,24-649-999-6206,5941.39,FURNITURE,"odolites nag. regular, bold packages run fluffily against the final theodolites. blithely bold gifts hag"
94453,Customer#000094453,HR 87aDj6t,3,13-949-921-9061,6068.01,HOUSEHOLD,nag carefully bold epitaphs. regular requests around the fi
94526,Customer#000094526,"l1PIQqp6ThWoRnzWK7ccG4T63,SeK2q0",1,11-530-304-1555,1237.93,FURNITURE,uests. final requests affix fluffily according to the s
94612,Customer#000094612,BWBzNipE4ArbGiCMH39p9DvFpR4AnB19o9V,0,10-268-710-4593,9932.29,BUILDING,slyly unusual packages! slyly unusual deposits haggl
94614,Customer#000094614,jhirKiKUqBcDHL,8,18-471-418-2275,6839.44,BUILDING,"leep quickly slyly bold requests. regular, regular accounts haggle slyly along the special"
94837,Customer#000094837,6RBoF1N41 VCCemmnt7pE2,24,34-976-781-7356,2366.75,HOUSEHOLD, bold packages. even warhorses alongs
95058,Customer#000095058,"5nMV,UxzTyI0mVMe9gFgrqzQ7XMGB",1,11-332-810-4786,7193.54,BUILDING,tes. carefully final ideas must cajole
95146,Customer#000095146,hRwnvrC9OnGdcyUY9,7,17-782-856-7456,3419.47,MACHINERY,"romise regular instructions. regular, regular packages breach carefully after the carefully final requests. req"
95148,Customer#000095148,Rw6bhyxnrVjsBZD3fe,23,33-620-169-8121,8255.43,HOUSEHOLD,"final dolphins. bravely unusual ideas around the ruthlessly final waters haggle quickly special, regular foxe"
95251,Customer#000095251,V3TdzjU8Yg4,16,26-291-270-5780,6753.6,FURNITURE,"ts. busy, pending accounts haggle quickly above the furiously even deposits. regular dependencies are "
95332,Customer#000095332,4XYIHUmC rI4E,15,25-104-758-7186,2141.37,MACHINERY,the furiously regular asymptotes haggle fluffily about the carefully regular escapades. furiou
95533,Customer#000095533,YfLJGBNH032soNHPEDKyonUsbxLAshC,12,22-321-903-2941,7109.55,MACHINERY,instructions hang carefully blithely final packages. theodolites wake blit
95685,Customer#000095685,WgggWWD9vEuHmsOe,7,17-219-950-9965,5055.36,HOUSEHOLD,kages. quietly special deposits cajole ca
95699,Customer#000095699,08ZyfjhzDDmxg6MyRxsy6u,2,12-774-811-4398,211,HOUSEHOLD,lithely even deposits nag above the carefully bold deposits. unusu
